Year,SuicideRate,AlcoholConsumption,HomicideRate,GDP_per_capita,Current health expenditure (% of GDP)_x,Current health expenditure per capita (current US$)_x,"Unemployment, total (% of total labor force) (modeled ILO estimate)_x",Current health expenditure (% of GDP)_y,Current health expenditure per capita (current US$)_y,"Unemployment, total (% of total labor force) (modeled ILO estimate)_y"
1975,,,,,,,,,,
1976,,,,,,,,,,
1977,,,,,,,,,,
1978,,,,,,,,,,
1979,,,,,,,,,,
1980,,,,,,,,,,
1981,,,,,,,,,,
1982,,,,,,,,,,
1983,,,,,,,,,,
1984,,,,,,,,,,
1985,,,,,,,,,,
1986,,,,,,,,,,
1987,,,,,,,,,,
1988,,,,,,,,,,
1989,,,,,,,,,,
1990,,,,,,,,,,
1991,,,,,,,23.002,,,23.002
1992,,,,,,,23.262,,,23.262
1993,,,,,,,23.179,,,23.179
1994,,,,,,,22.942,,,22.942
1995,,,,,,,22.647,,,22.647
1996,,,,,,,22.48,,,22.48
1997,,,,,,,22.518,,,22.518
1998,,,,,,,22.673,,,22.673
1999,,,,,,,22.791,,,22.791
2000,13.13252421,8.742056228,45.012212145,3217.84693448467,7.3366189,236.08114624,22.714,7.3366189,236.08114624,22.714
2001,13.24566946,8.742056228,45.09041262,2847.15191945908,7.12327909,202.81065369,22.605,7.12327909,202.81065369,22.605
2002,14.59886891,8.4838378,47.4725667,2688.23676032806,6.67774487,179.5135498,22.547,6.67774487,179.5135498,22.547
2003,,8.366665631,44.799503,4062.21755993786,7.04098177,286.01998901,22.629,7.04098177,286.01998901,22.629
2004,16.07498067,8.343870926,44.53024002,5221.46333731721,6.938416,362.28662109,22.538,6.938416,362.28662109,22.538
2005,15.63631495,8.402675833,18.90525606,5836.87663325127,6.86216164,400.5355835,22.461,6.86216164,400.5355835,22.461
2006,16.09959663,8.470211685,17.91543805,6077.38293388876,6.87650871,417.91174316,22.324,6.87650871,417.91174316,22.324
2007,15.96085285,8.476132478,16.74180957,6591.85535960564,6.90510845,455.17498779,22.287,6.90510845,455.17498779,22.287
2008,16.84225694,8.391782519,16.46463811,6184.75474328399,7.14832258,442.10626221,22.407,7.14832258,442.10626221,22.407
2009,,8.248683244,15.51968485,6374.70560042993,7.64941454,487.62774658,23.523,7.64941454,487.62774658,23.523
2010,,8.239291765,14.26669828,7973.47195771517,7.79358244,621.41906738,24.683,7.79358244,621.41906738,24.683
2011,,8.336959407,13.71813787,8646.05571071635,7.94434404,686.87243652,24.639,7.94434404,686.87243652,24.639
2012,,8.421342829,13.44677299,8076.97678479741,8.00428867,646.49920654,24.727,8.00428867,646.49920654,24.727
2013,,8.441096914,13.40854924,7331.65467384919,8.10322285,593.80157471,24.561,8.10322285,593.80157471,24.561
2014,,8.451978748,13.51031696,6856.73137092522,7.87136555,539.30780029,24.89,7.87136555,539.30780029,24.89
2015,,8.443987747,13.7040224,6112.27382485974,8.05304241,491.90652466,25.149,8.05304241,491.90652466,25.149
2016,,8.397732327,13.95566931,5651.20585165749,8.07959366,456.56936646,26.536,8.07959366,456.56936646,26.536
2017,,,14.477758,6618.33508255701,7.97711229,527.52020264,27.035,7.97711229,527.52020264,27.035
2018,,8.451478767,13.54616672,6914.1780318076,8.08196545,558.8013916,26.906,8.08196545,558.8013916,26.906
2019,,7.9399256,13.50828653,6533.71121032856,8.24652576,538.80426025,28.468,8.24652576,538.80426025,28.468
2020,,,12.96197267,5580.60383075189,9.01329231,503.46759033,29.217,9.01329231,503.46759033,29.217
2021,,7.791869619,12.53324422,6843.39941886204,8.67432785,592.53417969,34.007,8.67432785,592.53417969,34.007
2022,,7.791869619,,6523.41097815853,8.77086639,569.84075928,33.268,8.77086639,569.84075928,33.268
2023,,,,,,,32.098,,,32.098
2024,,,,,,,33.168,,,33.168
